local family body tail mid ilab slab post
INLAND 375 160.394547 NA        21.190963 19.608087 15.556188 6.125825
INLAND 375 168.394547 81.062586 21.190963 19.608087 15.556188 6.125825
INLAND 375 155.394547 80.062586 21.190963 19.608087 15.556188 6.125825
INLAND 376 170.051645 83.963572 18.954545 18.638325 15.809951 6.190111
INLAND 376 156.394547 85.062586 19.190963 21.608087 14.556188 6.125825
INLAND 376 169.394547 75.062586 19.190963 21.608087 15.556188 5.125825
INLAND 376 169.394547 84.062586 19.190963 19.608087 15.556188 6.125825
INLAND 376 169.394547 82.062586 19.190963 22.608087 16.556188 6.125825
INLAND 377 174.051645 76.963572 20.954545 19.638325 13.809951 6.190111
INLAND 377 169.394547 84.062586 21.190963 21.608087 15.556188 6.125825
INLAND 377 173.394547 82.062586 19.190963 20.608087 15.556188 6.125825
INLAND 377 173.394547 81.062586 19.190963 20.608087 15.556188 6.125825
INLAND 377 174.394547 84.062586 21.190963 19.608087 15.556188 6.125825
INLAND 379 166.051645 NA        20.954545 20.638325 15.809951 6.190111
INLAND 379 NA         81.062586 19.190963 19.608087 13.556188 4.125825
INLAND 379 166.394547 79.062586 21.190963 18.608087 15.556188 6.125825
INLAND 379 166.394547 80.062586 21.190963 18.608087 14.556188 6.125825
INLAND 379 167.394547 NA        21.190963 19.608087 15.556188 4.125825
